pool_id,total_balance,loan_count,wa_interest_rate,wa_ltv,wa_credit_score,total_ecl,ecl_coverage_pct
POOL-01,520529589.59,5453,0.04088081737051708,0.8193026129435103,681.3741280234681,2260047.56,0.0043
POOL-02,527476093.8,5558,0.040931174838318325,0.8154656537003042,681.2650949834003,2038611.59,0.0039
POOL-03,534155425.89,5515,0.040696415908667766,0.8172672768326412,682.5433592299215,2060088.14,0.0039
POOL-04,524805706.15,5553,0.04080434467121885,0.818894386680822,682.2091285820329,2000936.9,0.0038
POOL-05,507762933.41,5470,0.040986790524540746,0.8182465026920723,680.7068395700719,1972299.1,0.0039
POOL-06,544120150.01,5597,0.04102096315326641,0.8165772297365466,680.2947995142746,2194122.37,0.004
POOL-07,529115025.86,5474,0.041290508652019775,0.815917481814301,677.5542240526497,1885439.95,0.0036
POOL-08,532977933.09,5510,0.04099848276545464,0.8191847028634363,680.4700699745063,1888646.28,0.0035
POOL-09,541533785.56,5406,0.041091657400281444,0.8172284758703504,678.5512183724073,2371413.36,0.0044
POOL-10,530640574.52,5464,0.04117900244815791,0.8148193855961982,678.3097688878178,2215874.34,0.0042
