pool_id,total_balance,loan_count,wa_interest_rate,wa_credit_score
POOL-01,718060678.29,5453,0.06951287364753346,678.4527782871813
POOL-02,733730196.65,5558,0.06865282475710688,677.8366318819719
POOL-03,741239057.14,5515,0.06911022665457842,679.2875793291024
POOL-04,730650122.59,5553,0.06913814154511075,680.1546911579327
POOL-05,702188050.3,5470,0.06985692870201096,678.3411334552102
POOL-06,753589732.03,5597,0.06975165267107379,677.3378595676255
POOL-07,736566724.2,5474,0.0685901899890391,676.7067957617829
POOL-08,731948640.0,5510,0.06817504537205081,678.5580762250454
POOL-09,725497685.06,5406,0.06929892711801702,678.409174990751
POOL-10,725162800.54,5464,0.06894234992679356,676.9234992679355
